101,2024,60,1605,0,-7999,12.23
101,2024,60,1705,0,-7999,12.23
101,2024,60,1805,0,-7999,12.23
101,2024,60,1905,0,-7999,12.22
101,2024,60,2005,0,-7999,12.23
101,2024,60,2105,0,-7999,12.23
101,2024,60,2205,0,-7999,12.23
101,2024,60,2305,0,-7999,12.23
101,2024,61,005,0,-7999,12.23
101,2024,62,905,0,-7999,12.24
101,2024,62,1005,0,-7999,12.23
101,2024,62,1105,0,-7999,12.23
101,2024,62,1205,0,-7999,12.2
101,2024,62,1305,0,-7999,12.23
101,2024,62,1405,0,-7999,12.23
101,2024,62,1505,0,-7999,12.23
101,2024,62,1605,0,-7999,12.24
101,2024,106,1205,0,-7999,12.22
101,2024,106,1305,0,-7999,12.22
101,2024,106,1405,0,-7999,12.23
101,2024,106,1505,0,-7999,12.23
101,2024,106,1605,0,-7999,12.23
101,2024,106,1705,0,-7999,12.23
101,2024,106,1805,0,-7999,12.23
101,2024,106,1905,0,-7999,12.23
101,2024,106,2005,0,-7999,12.23
101,2024,106,2105,0,-7999,12.23
101,2024,106,2205,0,-7999,12.23
101,2024,106,2305,0,-7999,12.23
101,2024,107,005,0,-7999,12.23
101,2024,107,105,0,-7999,12.23
101,2024,107,205,0,-7999,12.23
101,2024,109,1005,0,-7999,12.22
101,2024,109,1105,0,-7999,12.22
101,2024,109,1205,0,-7999,12.22
101,2024,109,1305,0,-7999,12.22
101,2024,109,1405,0,-7999,12.22
101,2024,109,1505,0,-7999,12.22
101,2024,109,1605,0,-7999,12.22
101,2024,109,1705,0,-7999,12.22
101,2024,109,1805,0,-7999,12.22
101,2024,109,1905,0,-7999,12.23
101,2024,109,2005,0,-7999,12.23
101,2024,109,2105,0,-7999,12.23
101,2024,109,2205,0,-7999,12.23
101,2024,109,2305,0,-7999,12.23
101,2024,110,005,0,-7999,12.23
101,2024,110,005,0,-7999,12.23
101,2024,110,105,0,-7999,12.23
101,2024,110,205,0,-7999,12.23
101,2024,110,305,0,-7999,12.23
101,2024,110,405,0,-7999,12.23
101,2024,110,505,0,-7999,12.23
101,2024,110,605,0,-7999,12.23
101,2024,110,705,0,-7999,12.22
101,2024,110,805,0,-7999,12.23
101,2024,110,905,0,-7999,12.23
101,2024,110,1005,0,-7999,12.23
101,2024,110,1105,0,-7999,12.23
101,2024,110,1205,0,-7999,12.23
101,2024,110,1305,0,-7999,12.23
101,2024,110,1405,0,-7999,12.23
101,2024,110,1505,0,-7999,12.23
